Year,Team,Name,G,GS,GR,IP,W,L,S,HD,SO,BB,ERA,FIP,WHIP,WAR
2022,한화,장민재,32,25,7,126.2,7,8,0,0,75,39,3.55,4.74,1.29,2.89
2022,한화,김민우,29,29,0,163.0,6,11,0,0,129,84,4.36,4.61,1.39,2.86
2022,한화,페냐,13,13,0,67.2,5,4,0,0,72,30,3.72,3.39,1.37,1.31
2022,한화,라미레즈,13,13,0,65.1,2,6,0,0,47,37,4.13,4.8,1.36,1.13
2022,한화,윤산흠,37,0,37,33.2,1,1,0,3,46,30,2.67,3.48,1.57,0.93
2022,한화,카펜터,4,4,0,18.0,0,1,0,0,15,6,2.5,3.57,1.39,0.59
2022,한화,김범수,78,0,78,66.0,3,7,0,27,58,35,4.36,4.13,1.5,0.54
2022,한화,킹험,3,3,0,16.1,1,2,0,0,18,5,2.76,2.9,1.22,0.45
2022,한화,장시환,64,0,64,63.2,0,5,14,9,67,33,4.38,3.41,1.41,0.34
2022,한화,강재민,56,0,56,51.1,4,8,7,7,39,29,4.21,5.08,1.42,0.3
2022,한화,정우람,23,0,23,18.1,0,1,1,7,20,6,2.95,2.55,1.58,0.24
2022,한화,박상원,14,0,14,12.0,0,0,0,4,16,6,2.25,2.0,1.42,0.2
2022,한화,문동주,13,4,9,28.2,1,3,0,2,36,14,5.65,4.34,1.47,0.14
2022,한화,박윤철,11,7,4,33.1,0,3,0,0,16,23,4.59,6.69,1.92,0.07
2022,한화,한승주,7,2,5,15.2,0,0,0,0,12,4,6.32,3.25,1.85,0.03
2022,한화,임준섭,5,0,5,3.2,0,0,0,0,0,1,2.45,5.48,1.64,0.02
2022,한화,류희운,7,0,7,6.0,0,0,0,0,5,6,3.0,5.83,1.83,0.0
2022,한화,이민우,24,4,20,40.2,1,0,0,0,22,14,5.31,4.45,1.57,-0.01
2022,한화,송윤준,3,0,3,4.1,0,0,0,0,3,2,6.23,4.91,1.15,-0.02
2022,한화,김도현,1,0,1,0.0,0,0,0,0,0,0,99.99,3103.78,99.99,-0.03
2022,한화,이승관,7,0,7,5.1,0,0,0,0,3,4,10.13,5.28,2.25,-0.06
2022,한화,윤호솔,52,0,52,42.1,3,5,0,7,33,28,4.04,4.37,1.68,-0.07
2022,한화,김규연,12,0,12,13.2,0,0,0,1,11,12,5.27,6.24,2.05,-0.07
2022,한화,이충호,5,0,5,4.2,1,0,0,0,4,5,9.64,8.18,2.57,-0.09
2022,한화,김기중,5,3,2,12.0,0,2,0,0,8,11,6.0,9.18,2.08,-0.14
2022,한화,신정락,44,0,44,47.0,2,1,1,4,23,16,4.02,4.96,1.45,-0.16
2022,한화,남지민,22,20,2,89.0,2,11,0,0,41,45,6.37,5.51,1.73,-0.19
2022,한화,박준영,5,2,3,11.0,0,1,0,0,10,8,10.64,4.85,1.91,-0.23
2022,한화,이재민,2,0,2,2.0,0,0,0,0,0,5,36.0,13.08,4.0,-0.31
2022,한화,김재영,30,1,29,30.0,0,2,0,1,16,12,5.4,4.6,1.5,-0.5
2022,한화,윤대경,25,14,11,75.1,4,9,0,0,51,17,7.53,4.03,1.63,-0.58
2022,한화,김종수,52,0,52,45.0,3,4,1,6,45,21,4.4,4.12,1.33,-0.81
2022,한화,주현상,49,0,49,55.1,0,1,1,3,33,14,6.83,4.38,1.5,-0.94
2023,한화,페냐,32,32,0,177.1,11,11,0,0,147,59,3.6,4.06,1.17,3.7
2023,한화,문동주,23,23,0,118.2,8,8,0,0,95,42,3.72,3.65,1.31,2.67
2023,한화,산체스,24,24,0,126.0,7,8,0,0,99,28,3.79,3.92,1.3,2.2
2023,한화,주현상,55,0,55,59.2,2,2,0,12,45,15,1.96,3.25,0.84,2.18
2023,한화,이태양,50,12,38,100.1,3,3,0,2,72,21,3.23,3.6,1.21,1.49
2023,한화,윤대경,47,0,47,47.2,5,1,0,2,28,19,2.45,5.01,1.15,1.22
2023,한화,한승주,47,6,41,70.2,1,4,0,2,55,31,3.95,4.45,1.58,0.67
2023,한화,김기중,37,6,31,56.1,1,3,0,1,46,29,4.63,4.69,1.54,0.67
2023,한화,장시환,38,0,38,34.2,2,2,1,7,24,21,3.38,4.61,1.53,0.55
2023,한화,김규연,23,0,23,19.2,0,1,1,0,20,10,2.75,3.2,1.32,0.46
2023,한화,정우람,52,0,52,40.1,0,1,0,8,30,17,5.36,4.34,1.54,0.24
2023,한화,이민우,17,0,17,13.2,2,1,0,2,11,6,2.63,4.94,1.02,0.2
2023,한화,김범수,76,0,76,62.1,5,5,1,18,52,33,4.19,3.93,1.56,0.14
2023,한화,스미스,1,1,0,2.2,0,0,0,0,2,0,6.75,3.14,1.13,0.09
2023,한화,류원석,1,0,1,2.0,0,0,0,0,1,0,4.5,4.15,0.5,0.03
2023,한화,장민재,25,13,12,69.0,3,8,0,1,61,22,4.83,4.83,1.46,-0.03
2023,한화,송윤준,4,0,4,4.1,0,0,0,0,3,2,8.31,3.55,1.38,-0.06
2023,한화,류희운,3,0,3,4.0,0,0,0,0,4,2,11.25,5.87,2.0,-0.08
2023,한화,윤산흠,5,0,5,3.0,0,0,0,0,3,6,6.0,7.55,3.0,-0.12
2023,한화,장지수,1,0,1,2.0,0,0,0,0,0,2,18.0,6.95,3.0,-0.16
2023,한화,박준영,4,0,4,4.1,0,0,0,0,7,8,18.69,5.53,2.31,-0.16
2023,한화,김재영,6,0,6,8.0,0,0,0,0,5,2,10.13,6.81,1.88,-0.19
2023,한화,이충호,11,0,11,8.2,0,0,0,0,7,5,9.35,6.72,1.96,-0.21
2023,한화,박상원,55,0,55,61.2,5,3,16,0,57,29,3.65,3.38,1.49,-0.21
2023,한화,박윤철,3,0,3,3.1,0,0,0,0,1,5,21.6,14.89,3.0,-0.24
2023,한화,김서현,20,1,19,22.1,0,0,1,0,26,23,7.25,5.64,2.01,-0.29
2023,한화,남지민,16,7,9,37.2,1,7,0,0,23,13,6.45,3.8,1.78,-0.32
2023,한화,한승혁,21,7,14,36.1,0,3,0,1,28,21,6.44,4.95,1.9,-0.35
2023,한화,김민우,12,12,0,51.2,1,6,0,0,43,28,6.97,4.95,1.8,-0.36
2023,한화,강재민,43,0,43,43.1,1,3,0,12,42,19,6.44,4.73,1.25,-0.67
2024,한화,류현진,28,28,0,158.1,10,8,0,0,135,33,3.87,3.73,1.36,3.84
2024,한화,주현상,65,0,65,71.1,8,4,23,2,64,8,2.65,3.89,0.84,2.8
2024,한화,와이스,16,16,0,91.2,5,5,0,0,98,29,3.73,3.71,1.16,2.57
2024,한화,문동주,21,21,0,111.1,7,7,0,0,96,38,5.17,4.78,1.67,1.44
2024,한화,바리아,20,19,1,92.2,6,7,0,0,83,18,5.15,3.9,1.42,1.41
